date,datetime,cash_type,card,money,coffee_name
3/1/2024,12:15:50 AM,card,ANON-0000-0000-0001,38.7,Latte
3/1/2024,12:19:22 AM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/2024,12:20:18 AM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/2024,12:46:33 AM,card,ANON-0000-0000-0003,28.9,Americano
3/1/2024,12:48:15 AM,card,ANON-0000-0000-0004,38.7,Latte
3/1/2024,12:39:48 AM,card,ANON-0000-0000-0005,33.8,Americano with Milk
3/1/2024,12:19:03 AM,card,ANON-0000-0000-0006,38.7,Hot Chocolate
3/1/2024,12:39:04 AM,card,ANON-0000-0000-0007,33.8,Americano with Milk
3/1/2024,12:22:02 AM,card,ANON-0000-0000-0008,38.7,Cocoa
3/1/2024,12:23:16 AM,card,ANON-0000-0000-0008,33.8,Americano with Milk
3/1/2024,12:29:17 AM,card,ANON-0000-0000-0009,33.8,Americano with Milk
3/2/2024,12:22:07 AM,card,ANON-0000-0000-0010,28.9,Americano
3/2/2024,12:30:36 AM,cash,,40,Latte
3/2/2024,12:41:41 AM,card,ANON-0000-0000-0011,33.8,Americano with Milk
3/2/2024,12:59:46 AM,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/2/2024,12:38:36 AM,card,ANON-0000-0000-0013,28.9,Americano
3/2/2024,12:37:24 AM,card,ANON-0000-0000-0014,33.8,Americano with Milk
3/2/2024,12:34:55 AM,card,ANON-0000-0000-0004,28.9,Americano
3/3/2024,12:10:44 AM,cash,,40,Latte
3/3/2024,12:27:19 AM,card,ANON-0000-0000-0015,38.7,Latte
3/3/2024,12:33:56 AM,card,ANON-0000-0000-0016,28.9,Cortado
3/3/2024,12:26:56 AM,card,ANON-0000-0000-0012,28.9,Americano
3/3/2024,12:09:36 AM,card,ANON-0000-0000-0017,38.7,Hot Chocolate
3/3/2024,12:06:40 AM,card,ANON-0000-0000-0018,38.7,Cocoa
3/3/2024,12:08:46 AM,card,ANON-0000-0000-0019,28.9,Cortado
3/3/2024,12:03:23 AM,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/2024,12:04:28 AM,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/2024,12:08:05 AM,card,ANON-0000-0000-0020,38.7,Hot Chocolate
3/4/2024,12:03:52 AM,card,ANON-0000-0000-0001,38.7,Latte
3/4/2024,12:54:51 AM,card,ANON-0000-0000-0021,38.7,Latte
3/4/2024,12:05:16 AM,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/4/2024,12:04:38 AM,card,ANON-0000-0000-0022,24,Espresso
3/5/2024,12:59:53 AM,card,ANON-0000-0000-0001,38.7,Latte
3/5/2024,12:34:56 AM,card,ANON-0000-0000-0023,38.7,Latte
3/5/2024,12:34:06 AM,card,ANON-0000-0000-0024,38.7,Latte
3/5/2024,12:35:25 AM,card,ANON-0000-0000-0025,38.7,Hot Chocolate
3/5/2024,12:36:29 AM,card,ANON-0000-0000-0026,38.7,Cocoa
